id,댓글,공감수
1,"  제가 바보였습니다. 갤워치도 시계줄 넣을때 안쪽 버튼을 눌러서 넣으면 쉽습니다. 그러고보니 갤럭시 기어 S3, 갤럭시 워치, 갤럭시 워치 액티브1, 갤럭시 워치 액티브2 다샀네;; 아.. 갤럭시핏이랑 갤럭시핏e도 ㅎ ",3
1,  ㅋㅋㅋㅋㅋ 삼성과 애플은 충전부터 싫어해요ㅋㅋㅋ개웃 ,3
1,  2:11 삼성이 패키징 진짜 못했구나 생각했는데 그냥 뒤로 뜯은거였어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,3
1,"  심전도 기능, 심장질환 있으신 분들에게 엄청난 기능입니다.  심정지되면 자동으로 소방서에 전화가 되는, 기능이 있다거나 될 예정이라고 들었네요 ",3
1,  이번 디자인 몬가 땅부루같은 느낌이라 이쁘다.... ,3
1,  3:22 ㅋㅋㅋㅋㅋ의도한걸수도... ,3
1,  음....가격이 좀싸네?     역시 삼성 너무좋아 ,3
1,  07:38 손톱 개소름... ,3
1,  팩트는? 삼성과 애플은 충전부터 싫어한다 ,3
1,  진짜 삼성 요즘 디자인 미쳤다 ㅋㅋ 옛날엔 아이폰이 그렇게 예뻤는데 s6부터 플라스틱 빼고 글래스로 바꾼건 신의 한 수였다 어쩌면 s5는 디자인 망작이지만 이 계기로 삼성이 한 층 더 성장한거라고 봄 요즘 삼성보면 이제 애플 못지 않게 심플하고 세련됨 ,3
1,  7:41 7:45 왜 형 잘때가 상상되지 ,3
1,  서로 밀어내는 거 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,3
1,  2:19 청개구리의 최후 ,3
1,  10:46 폴드에 묻은 지문ㄷㄷ ,3
1,  폴드에서 설정하는게 간지네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,3
1,  너무예뻐서 이 영상보고 뽐뿌와서 고민중입니다... 진짜너무이쁘다.. ,3
1,  잇섭님은 그 많은 기계를 도대체 언제 다써보시나여 ㅋㅋ 시간 모자를듯 ,3
1,  8:09 꽤꽤꽤꽤꽤의 시작 ,3
1,  2:25 아닠ㅋㅋㅋㅋㅋ형 왤케 해말앜ㅋㅋㅋㅋ ,3
1,  12:14 ....엉덩이에.... 그게 왜 닿아??? ,3
